Код;Имеет ПВЗ;Максимальный вес;Страна;Регион;Город;Улица;Дом;Офис;Эл. почта;Телефоны;График работы;Наименование;Описание;Комментарий к адресу;Ближайшая остановка;Ближайшая остановка метро;
NSK35;Да;;Россия;Новосибирская обл.;Новосибирск;ул. Вавилова;3;2;E.A.Efremov@cdek.ru;+79588542645;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Вавилова;;От перекрестка прямо по ул. Плановой в сторону зоопарка по правой стороне дороги. Через 150м перед домом номер 50 (высокий многоэтажный дом) повернуть направо и двигаться до улицы Вавилова. Вход - отдельное крыльцо.;Плановая;Ст. м. Заельцовская;||
SAK1;Да;;Россия;Крым респ.;Саки;ул. Трудовая;28;;a.korolev@cdek.ru;+79782707919;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Трудовая;;От вокзала поворот налево, прямо до рынка Пионер. Поворот налево по ул. Трудовой до здание небольшого ТЦ, вход по ступенькам.;Рынок Пионер;;||
RMN2;Да;;Россия;Московская обл.;Раменское;ул. Крымская;1;3;demidov.i@cdek.ru;+74997072127;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Крымской;;;Лицей №13;;||
KUR6;Да;;Россия;Курганская обл.;Курган;ул. Бурова-Петрова;117;;d.galko@cdek.ru;+79125787716, +73522619011;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Бурова-Петрова;;Центральный вход;Автоцентр РЕНО;;||
KEM5;Да;30.0;Россия;Кемеровская обл.;Кемерово;ул. Авроры;6;;logistics@cdek.ru;+73842780079;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Авроры;;;Серебряный Бор, Кемсоцинбанк;;||
KLG8;Да;;Россия;Калужская обл.;Калуга;ул. Тульский 2-й пер.;2;;klg@cdek.ru;+74842533688;Пн-Пт 09:00-19:00, Сб 10:00-18:00, Вс 10:00-16:00;На Тульском;;;Лесоторговая база;;||
KLG9;Да;;Россия;Калужская обл.;Калуга;ул. Театральная;4б;;klg@cdek.ru;+74842795517;Пн-Пт 09:00-19:00, Сб 10:00-18:00, Вс 10:00-16:00;На Театральной;;;Универмаг «Калуга»;;||
MSK78;Да;30.0;Россия;Москва;Москва;ул. Молодогвардейская;54, корп.4;;SV.Kosterin@cdek.ru;+79067152350;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Молодежная;;"Метро Молодежная. Выйдя из метро пройдите прямо и направо на остановку автобусов. Автобус :794, 73. Ехать до остановки ""Строительный колледж"" От остановки двигайтесь прямо (назад). 300м до знака, далее первый поворот налево. К проходной. Необходимо войдит";Молодогвардейская;Ст. м. Молодежная;||
IZHV4;Да;30.0;Россия;Удмуртия респ.;Ижевск;ул. Максима Горького;43;126;d.osotov@cdek.ru;+73412322797;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Горького;;Вход в здание расположен напротив торгово-офисного комплекса «Старик Хоттабыч».;Долгий мост;;||
BRN5;Да;;Россия;Алтайский край;Барнаул;пр-т Строителей;26;;A.Vocekhovskaya@cdek.ru;+73852223019;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Строителей;;Двухэтажный жилой дом напротив гостиницы Барнаул, 1 этаж, отдельнй вход.;Гостиница Барнаул;;||
SCH4;Да;10000.0;Россия;Краснодарский край;Сочи;ул. Водораздельная;5;;sochi@cdek.ru;+78005006873;Пн-Сб 10:00-20:00, Сб-Вс 10:00-18:00;Сортировочный центр (прием/выдача тяжелых грузов);;;Гараж;;||
MEL1;Да;;Россия;Башкортостан респ.;Мелеуз;ул. Октябрьская;5;;l.ovchinnikova@cdek.ru;+73476450030;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Октябрьская;;Перекресток Смоленской и Oктябрьской, в 100 м от центрального Сбербанка. Отдельный вход на 1 этаже.;Октябрьская;;||
KRN4;Да;;Россия;Московская обл.;Красногорск;ул. Ленина;5б;5;T.Sautkina@cdek.ru;+74951369985;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленина;;От остановки в сторону стадиона «Зоркий», первый поворот налево, Справа многоэтажный жилой дом, вход со стороны дороги. Мы находимся между «Полицией» и «Следственным  комитетом»;ДК «Подмосковье»;;||
ROS1;Да;;Россия;Воронежская обл.;Россошь;ул. Пролетарская;148;1;s.sopun@cdek.ru;+74739650501;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Пролетарской;;Бывший маг. «Россошанец», слева от 10 школы.;«Россошанец»;;||
RZHV1;Да;;Россия;Тверская обл.;Ржев;ул. Большая Спасская;29/64;;A.Piskunov@cdek.ru;+74823260171;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Большая Спасская;;Пересечение улиц Большая Спасская и Декабристов. Слева по ходу движения, если ехать от Нового моста, и первый перекресток после светофора, если направляться от памятника «Танк».  Вход на главную улицу.;ул. Калинина;;||
PRM6;Да;;Россия;Пермский край;Пермь;Ул. Пушкина;116б;;a.rasputina@cdek.ru;+79504422231;Пн-Пт 08:00-20:00, Сб-Вс 10:00-18:00;На Пушкина;;За Центральным рынком по ул. Пушкина, перед Арбитражным апелляционным Судом налево и вниз до конца и снова налево. Вход — пристрой к жилому высокоэтажному дому, крыльцо на территории стоянки.;ул. Крылова;;||
UFA5;Да;;Россия;Башкортостан респ.;Уфа;ул. Маршала Жукова;10;1141;Cdek-rb@cdek.ru;+73472577007;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Жукова-ТСК Сипайловский;;ТСК Сипайловский. Блок Б. Вход со стороны Карусели.;М. Жукова;;||
MSK80;Да;;Россия;Москва;Москва;ул. Карьер;2, стр.1;;;+74957978108 77008, +74957978108 7715;Пн-Пт 09:00-21:00, Сб-Вс 10:00-18:00;На улице Карьер;;Метро Крымская, выйдя с метро, повернуть налево пройти мимо Сбербанка, через дорогу 400м вдоль ул 4-й Загородный проезд, повернуть налево пройти по Канатчиковскому путепроводу, далее двигаться до конца ул Карьер 700м, мимо АЗС Лукойл, пройти через шлагбау;55-ая городская больница;Ст. м. Ленинский проспект;||
BUG1;Да;;Россия;Татарстан респ.;Бугульма;ул. Мусы Джалиля;52;;l.ovchinnikova@cdek.ru;+79003235633;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Мусы Джалиля;;На перекрестке ул. Мусы Джалиля и ул. Алиша . Вход с ул. Алиша.;Алиша;;||
VRN5;Да;;Россия;Воронежская обл.;Воронеж;ул. Остужева;28;;a.a.dvercov@cdek.ru;+74732286845;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Остужева;;От остановки в сторону кольца, мимо загса - направо, вдоль дома 150м. По правую руку входная группа.;Остужева;;||
RND11;Да;300.0;Россия;Ростовская обл.;Ростов-на-Дону;ул. Темерницкая;83;;E.Suhitchenko@cdek.ru;+78632292160, +78632292159;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Газетном;;На пересечении пер. Газетного и ул. Темерницкой. Напротив Кировского районного суда.;Темерницкая;;||
MSK81;Да;30.0;Россия;Москва;Москва;ул. 6-я Кожуховская;29б, под.3;22;m.geitota@cdek.ru;+74956009240;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Южнопортовый-Кожуховская;;Метро Кожуховская. Выйдя из метро, поверните направо, двигайтесь прямо 300м, пройдя стенд Южнопортового района, поверните налево, далее идти прямо вверх по улице 400м, перед домом 29 поверните направо пройти 100м, поверните налево во двор. Вход в офис со;;Ст. м. Кожуховская;||
VRN6;Да;30.0;Россия;Воронежская обл.;Воронеж;ул. Ворошилова;49а;;s.bogma@cdek.ru;+74733004083;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Ворошилова;;На перекрестке ул. Ворошилова и ул. Домостроителей. Вход со стороны проезжей части.;Военных строителей;;||
KLP2;Да;;Россия;Санкт-Петербург;Колпино;пр-т Заводской;16;;;+78129899419;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Заводском;;;Заводской проспект;;||
ANG2;Да;;Россия;Иркутская обл.;Ангарск;ул. 89-й квартал;1;;e.mironova@cdek.ru;+79641284221, +73955586999;Пн-Пт 09:00-19:00, Сб 10:00-16:00;89-й квартал;;Вход с улицы Карла Маркса.;Автобус 11, 27, 28 остановка 89 квартал;;||
SPB33;Да;50.0;Россия;Санкт-Петербург;Санкт-Петербург;ш. Московское;7, лит.А   ;;;+78129883158;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Звездной;;"ТЦ ""Торговый Двор""";Московское шоссе;Ст. м. Звездная;||
CHEL13;Да;40.0;Россия;Челябинская обл.;Челябинск;ул. Энгельса;24;;MG.Balykin@cdek.ru;+73512170803;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Энгельса;;На пересечении ул. Коммуны и Энгельса, перед входом в Центральный парк, вход со стороны ул. Энгельса.;Агроинженерная академия;;||
BEYe1;Да;;Россия;Башкортостан респ.;Белебей;ул. Революционеров;1а;;dir-neftekamsk@cdek.ru;+79870450275, +73478650275;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Революционеров;;Офис находится справа от БТИ и МФЦ, вход с торца дома.;Трансагенство;;||
BRN6;Да;;Россия;Алтайский край;Барнаул;пр-т Ленина;150;;oa.sigarev@cdek.ru;+73852555040;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Ленина;;На Ленина у самолёта;ост. Парк «Солнечный ветер»;;||
VRN7;Да;30.0;Россия;Воронежская обл.;Воронеж;ул. Пушкинская;42;;AV.Kotov@cdek.ru;+74732071737, +74732299505;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Пушкинской;;Двигаться от Центрального Рынка по ул. Пушкинской (одностороннее движение) в сторону Цирка. Напротив банка «Уралсиб» в здании «Воронежагротех».;Ближайшие остановки: Кирова, Куцыгина, Девицкий выезд.;;||
SVK2;Да;;Россия;Архангельская обл.;Северодвинск;ул. Полярная;40;;Ilichev.s@cdek.ru;+78184510801;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Полярной;;От перекреска по ул. Полярная прямо 100м. Здание слева,  вход в ПВЗ в начале здания.;Аптека №2;;||
IRB1;Да;;Россия;Свердловская обл.;Ирбит;ул. Советская;96в;110;M.Polkov@cdek.ru;+79000424033;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Советская;;Здание строительного управления, 1 этаж налево (по указателям). Рядом спортивный комплекс «Олимп».;Белинского (02, 07,111, 144, 166 маршруты);;||
TGN5;Да;;Россия;Ростовская обл.;Таганрог;ул. Александровская;124;;taganrog@cdek.ru;+78632098745, +78634431003;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Александровской;;;Смирновский;;||
SSB4;Да;;Россия;Ленинградская обл.;Сосновый Бор;пр-т Героев;37а;;;+79643616630;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Героев;;;"ТЦ ""Эдельвейс""";;||
MSK83;Да;30.0;Россия;Москва;Москва;ул. Маршала Новикова;16;;A.E.Fedorov@cdek.ru;+79660190193;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Щукинская;;Метро Щукинская, ост Метро Щукинская, автобус 681, автобус 100, автобус 310, маршрутка 480, маршрутка 358к, маршрутка 584к, пройти направо вдоль дома, через дорогу к аптеке Феерия Фарм, направо мимо Библиотека № 243 ГБУК г. Москвы ЦБС СЗАО 400м, пройти во;Поликлиника №79;Ст. м. Щукинская;||
KSD16;Да;;Россия;Краснодарский край;Краснодар;ул. Московская;140а;;A.Barashkov@cdek.ru;+79892691010, +79181251010;Пн-Пт 08:00-20:00, Сб-Вс 10:00-16:00;На Московской;;;Гомельская;;||
MTN4;Да;;Россия;Москва;Митино;ул. Муравская;1, стр.1;;e.babich@cdek.ru;+74991300757;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Муравской;;;"МЖК ""Рождествено""";Ст. м. Пятницкое шоссе;||
NRS2;Да;30.0;Россия;Красноярский край;Норильск;пр-т Ленинский;35;;i.bibgaev@cdek.ru;+73919343434, +73919223223;Пн-Пт 10:00-19:00, Сб 10:00-16:00;"ТК ""НЕОН""";;;М-н Северок, м-н Ягуар;;||
UFA6;Да;;Россия;Башкортостан респ.;Уфа;ул. Менделеева;114а;;E.V.Kuznetsov@cdek.ru;+79272362545, +73472662545;Пн-Пт 10:00-20:00, Сб-Вс 10:00-16:00;На Менделеева;;В 100м от ТЦ Иремень в сторону Монумента дружбы. Вход в ПВЗ находится с задней стороны здания.;Иремель;;||
ORN2;Да;30.0;Россия;Оренбургская обл.;Оренбург;ул. Салмышская;34/5;101;director-orenburg@edostavka.ru;+73532665444;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Салмышской;;За боулинг-центром «Рина», торгово-офисное здание «Омега».;Липовая;;||
OMS10;Да;;Россия;Омская обл.;Омск;пр-т Комарова;11, корп.1;;omsk@cdek.ru;+73812662360;Пн-Сб 08:00-20:00, Вс 10:00-16:00;На Комарова;;"ТЦ ""Пятый кристалл""";Студенческая;;||
MGN5;Да;;Россия;Челябинская обл.;Магнитогорск;ул. Ворошилова;7;;;+79511119595, +73519390309;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Ворошилова;;;Гостиный двор, Энгельса;;||
MSK84;Да;50.0;Россия;Москва;Москва;ул. Соколово-Мещерская;14, корп.1;8;E.Jukova@cdek.ru;+74991360090;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Куркино;;Метро Планерная, ост Метро Планерная автобус 43, автобус 252, автобус 267, автобус Т, от остановки налево пройти по ул Планерная 700м, мимо АЗС Лукойл, далее 200 метров по ул Свободы до ост Бутаковский залив, перейти дорогу пройти по дороге 600м через пос;Ул. Соколово-Мещерская, ул.Юровская;Ст. м. Планерная, ст. м. Пятницкое шоссе;||
UFA7;Да;45.0;Россия;Башкортостан респ.;Уфа;ул. Братьев Кадомцевых;8А;100;i.zinnatullin@cdek.ru;+73472999245;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Универмаге;;"Вход соседнюю дверь с магазином Пятерочка оф. 100, ""Код домофона 100""";Южный автовокзал, Универмаг Уфа , ТЦ Семья;;||
ZBK3;Да;;Россия;Забайкальский край;Забайкальск;ул. Северная;72;;i.zlatov@cdek.ru;+79141372242, +79141304142, +79243860245;Пн-Пт 09:00-20:00, Сб 10:00-16:00;На Северной;;Перед заездом в пгт Забайкальск на кольце повернуть налево в сторону Центрального рынка и Международного автомобильного пункта пропуска, через 300м на портив гостиницы Причал. Вход с фасада здания в центре.;Гостиница Причал;;||
KPS1;Да;;Россия;Крым респ.;Красноперекопск;ул. Чкалова;4/1;;;+79782646076;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Чкалова;;;Стоматология;;||
NKHB1;Да;;Россия;Московская обл.;Нахабино;ул. Вокзальная;15;;d.kasyan@cdek.ru;+74951430071;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Вокзальная;;3 мин от ж/д станции «Нахабино»;Нахабино,  ж/д станция «Нахабино»;Ст. м. Тушинская, ст. м. Митино, ст. м. Мякинино;||
KON1;Да;;Россия;Тверская обл.;Конаково;ул. Баскакова;1;;A.Zhzhenov@cdek.ru;+74824245046;Пн-Пт 09:00-20:00, Сб 09:00-16:00;Баскакова;;Здание ГИБДД, центральный вход.;Больница;;||
KOM3;Да;;Россия;Хабаровский край;Комсомольск-на-Амуре;пр-т Победы;53;;V.Klunichenko@cdek.ru;+74217348034;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Пр-т Победы;;"От ТЦ ""Орленок"" в сторону ТЦ ""Победа"" около 100м. Офис находится на 1 этаже жилого дома.";"От ТЦ ""Орленок"" в сторону ТЦ ""Победа"" около 100 метров. Офис находится на первом этаже жилого дома.";;||
KSD17;Да;;Россия;Краснодарский край;Краснодар;ул. Красных партизан;299;;Bondarenko.N@cdek.ru;+79892795000;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Красных партизан;;;"""Автобус 4,10,138а,140а,155а,160а,166, 174а Маршрутка 20,32,38,42,85,110а,131а,183а до остановки “ул. Каляева”""";;||
ZKN1;Да;;Россия;Ставропольский край;Зеленокумск;пл. Ленина;6;8;e.gajvoronsky@cdek.ru;+79624290919;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На пл. Ленина;;;Центральный почтамт;;||
TOM8;Да;;Россия;Томская обл.;Томск;переулок Нахимова;2;;tomsk-1@cdek.ru;+79521500454, +73822256957;Пн-Пт 10:00-20:00, Сб 10:00-18:00, Вс 10:00-18:00;На Томске 1;;Проходим мимо кафе «Траттория» до конца дома. Вход налево с торца.;Вокзал «Томск-1»;;||
MSK85;Да;30.0;Россия;Москва;Москва;пр-т Новоясеневский ;1Б, стр. 4 павильон  А-3;;s.davlatzoda@cdek.ru;+79263966962;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Теплый Стан;;Метро Тёплый Стан Калужско-Рижская линия, остановка Метро Тёплый Стан, едут автобусы 144,553,767,895,895К, по правой стороне 200м от остановки.;;Ст. м. Теплый Стан;||
YEKB5;Да;60.0;Россия;Свердловская обл.;Екатеринбург;ул. Cулимова;28;;cdeksul@cdek.ru;+73433617283;Пн-Пт 10:00-20:00, Сб 10:00-17:00, Вс 10:00-17:00;Сулимова;;250м прямо в сторону ул. Боровая, возле пешеходного светофора рядом с ТЦ Парус дом 5 этажей, серый кирпич, торцом на ул. Сулимова.;Менделеева , Боровая;Ст. м. Уральская;||
MSK86;Да;;Россия;Москва;Москва;пр. Студеный;4, корп.1;;y.borovikov@cdek.ru;+74993902866;Пн-Пт 10:00-20:00, Сб-Вс 10:00-17:00;Медведково;;Метро Медведково Калужско-Рижская линия. Ост 10-й квартал Медведкова едет 50 автобус. Из метро налево на улицу Грекова, идти прямо вдоль забора 400 м, дойдите до конца улицы. На перекрестке поверните налево, двигайтесь прямо по Студеному проезду 300м. Офи;;Ст. м. Медведково, Бабушкинская, Бибирево;||
UFA8;Да;;Россия;Башкортостан респ.;Уфа;ул. Кувыкина;11;;okt@cdek.ru;+79870224533, +73472466799;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Зеленая Роща;;Зеленая Роща. ТЦ АльтЭра (бывший ТЦ Белоречье). Вход со двора;Рабкоров;;||
MSK87;Да;50.0;Россия;Москва;Москва;ул. Шаболовка;38;;v.gudoshnikov@cdek.ru;+79690132997;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Шаболовка 38;;Метро Шаболовская Калужско-Рижская линия остановка Метро Шаболовская едут трамваи 14, 26, 47, А от метро направо мимо аптека столицы, повернуть направо пройти через шлагбаум 50м, повернуть налево пройти еще 50м.;"Фабрика ""Ударница"" ул. Лестева";Ст. м. Шаболовская;||
ZHLD2;Да;;Россия;Московская обл.;Железнодорожный, округ Балашиха;ул. Речная;16;;ev.rogoza@cdek.ru;+74956645524;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Речной;;Вход с противоположной стороны от подъездов.;Керамкомбинат;Ст. м. Новокосино;||
MSK88;Да;;Россия;Москва;Москва;пл. Комсомольская;1а, стр.1;;O.Ivanov@cdek.ru;+74994904683;Пн-Пт 10:00-20:00, Сб 10:00-18:00, Вс 10:00-18:00;На Комсомольской;;Метро Комсомольская Кольцевая линия, остановка Комсомольская площадь, едут трамвай 7,50,37,13. Пройти вдоль Железнодорожного вокзала Ленинградский 200м далее повернуть налево, вхлд со двора;ул. Каланчевская;Ст. м. Комсомольская;||
SUR10;Да;10000.0;Россия;Ханты-Мансийский авт. округ;Сургут;ул. Нефтеюганское шоссе;46;;surgut4@cdek.ru;+73462442131, +73462779509;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Нефтеюганском шоссе;нет выдачи с офиса;;Тенисный центр, Учебный комбинат, Маяковского;;||
TBL2;Да;;Россия;Тюменская обл.;Тобольск;ул. 6 микрорайон;1/1;;mitenkova.l@cdek.ru;+79088750958, +73456271714;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На 6 микрорайоне;;;ТЦ Жемчужина Сибири;;||
SRK5;Да;30.0;Россия;Мордовия респ.;Саранск;ул. Терешковой;16;;nm.zaharova@cdek.ru;+79610992204;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Терешковой;;Напротив магазина «САЛЮТ» и БЦ «СОЮЗ»;;;||
TOM9;Да;;Россия;Томская обл.;Томск;ул. Красноармейская;96;;m.leonov@cdek.ru;+73822333396;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Кирова;;На пересечении пр. Кирова и ул. Красноармейская, вход в офис справа от здания со стороны ул. Красноармейская;Пр-т Кирова;;||
SVT7;Да;50.0;Россия;Севастополь;Севастополь;ул. Колобова;21б;;E.Verbinskaya@cdek.ru;+79781404058;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Колобова;;;ул. Колобова;;||
NSK37;Да;50.0;Россия;Новосибирская обл.;Новосибирск;ул. Выборная;122;;ivanov.v@cdek.ru;+73832692029;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Выборной;;Цоколь справа от входа в ТД Визит, вход со стороны Выборной;Жилмассив;;||
YEGO1;Да;;Россия;Московская обл.;Егорьевск;ул. Парижской Коммуны;1б;122;a.gureev@cdek.ru;+74951336534;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На П.Коммуны;;От памятника В.И. Ленину вниз по улице П.Коммуны. 3 этажное кирпичное, красное здание. Главный вход, рядом с банкоматом Сбербанка.;Советская Площадь;;||
MTSHCH1;Да;30.0;Россия;Московская обл.;Мытищи;ул. Трудовая;22;;r.trufanov@cdek.ru;+74994994876;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Перловка;;200м от МКАД;Школа;Ст. м. Медведково;||
MSK89;Да;50.0;Россия;Москва;Москва;ул. Шарикоподшипниковская;13 стр. А;;E.Kochelovsky@cdek.ru;+74953635187;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Дубровка;;Метро Дубровка Люблинско-Дмитровская линия, остановка Метро Дубровка едут автобусы 99, Т26,670,9,186, от остановки перейти дорогу на противоположную сторону от памятника Вечная Слава, идти 310 м мимо ТК Дубровка.;Дубровка;Дубровка;||
RND12;Да;30.0;Россия;Ростовская обл.;Ростов-на-Дону;пр-т Королева;20;;rnd@cdek.ru;+78632098745;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;пр-т Королева;;За остановкой напротив рынка КВАДРО, во дворе магазина Магнит, рядом с Вайлдберриз.;Площадь Королёва;;||
SHDR1;Да;;Россия;Курганская обл.;Шадринск;ул. Свердлова;74;;a.orlovsky@cdek.ru;+79195716709, +79225685382;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Свердлова;;Район школы № 4;Гостиница, Космос;;||
PSHN1;Да;;Россия;Санкт-Петербург;Пушкин;ул. Жуковско-Волынская;3;;o.vydrina@cdek.ru;+78129265567;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Жуковско-Волынской;;;Октябрьский бульвар;Московская;||
NVT1;Да;;Россия;Оренбургская обл.;Новотроицк;ул. Советская;59;;v.penyagin@cdek.ru;+79083204777, +79010969888, +73537399888, +73537699888;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Советской;;Пересечение ул Советская и ул. Зинина;Площадь Ленина;;||
MSK90;Да;100.0;Россия;Москва;Москва;ул. 9-я Парковая;52, корп.1 подвал с торца дома;;i.galin@cdek.ru;+79858105256;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Первомайская;;Метро Первомайская Арбатско-Покровская линия, остановка Измайловский бульвар едут автобусы 645,223,Т55,223К,Н3 от остановки идти налево 800м мимо Института гуманитарного образования и информационных технологий, далее повернуть направо, вход со двора.;Верхняя Первомайская улица;Ст.м. Первомайская;||
MSK92;Да;50.0;Россия;Москва;Москва;ул. Кантемировская;53 корп. 1;;Suslov.A@cdek.ru;+74951270232;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Кантемировская;;Метро Кантемировская Замоскворецкая линия, остановка Метро Кантемировская едут автобусы 164, 220, 663,701,220К. От остановки пройти направо к 3 выходу метро идти прямо 300м, повернуть налево мимо сквера на Кантемировской улице, вход со двора.;Кантемировская;Кантемировская;||
NZHK2;Да;;Россия;Татарстан респ.;Нижнекамск;пр-т Шинников;11;;l.ovchinnikova@edostavka.ru;+78555406460, +78555482070;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Шинников;;;Молодежная;;||
MNV2;Да;;Россия;Ставропольский край;Минеральные Воды;Ул. 22 партсъезда;64;;vv.makarov@cdek.ru;+79897810405;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На 22 партсъезда;;вход в офис с лева от гостиницы «Версаль»;кинотеатр Октябрь , гостиница Версаль, Содружество;;||
YEKB6;Да;30.0;Россия;Свердловская обл.;Екатеринбург;ул. Техническая;16;;y.karev@cdek.ru;+73433022883;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Технической;;;Переулок Теплоходный;;||
NRS4;Да;100.0;Россия;Красноярский край;Норильск;пр-т Ленинский;11;;a.gagina@cdek.ru;+73919462111;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленинском;;Вход — пристрой к жилому дому;Ресторан Лама;;||
KRS2;Да;30.0;Россия;Курская обл.;Курск;ул. Дзержинского;41;;A.Kuchma@cdek.ru;+79155167651;Пн-Пт 09:00-19:00, Сб 09:00-16:00;На Дзержинского;;От остановки кинотеатр им. Щепкина 160 м вниз к Центральному рынку;Кинотеатр им. Щепкина;;||
VLG11;Да;30.0;Россия;Волгоградская обл.;Волгоград;пл. Дзержинского;1;105;is.pylin@cdek.ru;+78442506905;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На пл. Дзержинского;;"БЦ ""Тракторный""";Пл. Дзержинского;ВГТЗ;||
IZO1;Да;;Россия;Ставропольский край;Изобильный;ул. Промышленная;109А;;dir-stavropol@cdek.ru;+79624491549;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Промышленная;;Район Мясокомбината (Просол Ставрополья);Мясокомбинат;;||
PRM7;Да;60.0;Россия;Пермский край;Пермь;ул. Куйбышева;2;111/1;pvz_perm@cdek.ru;+73422070208, +79068770208;Пн-Пт 10:00-20:00, Сб-Вс 10:00-16:00;На Куйбышева;;;Советская, Художественная галерея;;||
MSK93;Да;100.0;Россия;Москва;Москва;ул. Сущевский вал;5, стр 15;43;N.Fazilov@cdek.ru;+74951772812;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Савеловская;;Метро Совёловская 4 выход Серпуховско-Тимирязевская линия, остановка Савёловский вокзал ходят автобусы 82, Т79,22,727. От остановки пройти через дорогу к 4 выходу метро, пройти во двор  300м мимо Альфа-Банка, после шлагбаума повернуть налево 50м, далее по;«Мебельная фабрика»;Савеловская;||
YARS6;Да;;Россия;Ярославская обл.;Ярославль;пр-т Ленина;37/73;;;+74852940068, +79657263068;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Ленина;;Напротив ДК Добрынина (бывший магазин «Тройка»);Юбилейная площадь;;||
CHEL14;Да;30.0;Россия;Челябинская обл.;Челябинск;пр-т Комсомольский;69;;K.Basovich@cdek.ru;+73512230852;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-16:00;Теорема;;;улица Солнечная;;||
